,Interpolation RMSE,Interpolation MAE,Interpolation Bias,Interpolation Spatial corr,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Bias,U-Net T+Elev Spatial corr,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Bias,Transformer T+Elev Spatial corr,Truth Tmax mean (deg C),Dew point mean (deg C),U-Net minus Transformer RMSE,Transformer beats U-Net,U-Net beats interpolation,Transformer beats interpolation,Precip mean (mm day-1),Gust max mean (m s-1),Low cloud cover mean (%),Total cloud cover mean (%),Temperature regime,Humidity regime,Rain regime,Wind regime,Cloud regime,Low-cloud regime,Rainy day,Very wet day,Very windy day,Very cloudy day,Hot and wet,Hot and cloudy,Hot and humid
2022-07-26,1.38571,1.0990148,-0.46460307,0.8149801817447727,0.9296038,0.76763195,0.13945642,0.9058644760526153,0.91416466,0.7467995,0.035699025,0.9033730627589249,25.37517,14.658693,0.015439153,True,True,True,5.2972355,12.170941,25.75844,66.201294,Moderate,Moderate humidity,Wet,Windy,Cloudy,Moderate low-cloud,True,False,False,False,False,False,False
2022-07-27,1.394866,1.0750734,-0.43798852,0.8221804803360769,0.8321006,0.6638863,0.06011975,0.9279476256948525,0.8265832,0.6708742,-0.023675138,0.9286104335346209,27.596174,15.906477,0.0055173635,True,True,True,5.9470825,10.2586355,20.532736,65.10753,Moderate,Moderate humidity,Wet,Moderate wind,Cloudy,Moderate low-cloud,True,False,False,False,False,False,False
2022-07-28,1.5424932,1.1648713,-0.5242695,0.8234566788836019,0.8527937,0.67551136,-0.2822835,0.9362571877139838,0.8550765,0.66746956,-0.32747868,0.9381188826414187,29.428272,18.987621,-0.0022827983,False,True,True,2.702845,10.148119,14.254508,50.76024,Hot,Humid,Moderate rain,Moderate wind,Clear,Low low-cloud,True,False,False,False,False,False,True
2022-07-29,1.5567675,1.2068108,-0.6986431,0.8532287156507157,0.95789456,0.76997626,-0.22620948,0.9339884819904406,1.0514363,0.84403974,-0.3131879,0.9234125727919303,27.874184,17.655428,-0.09354174,False,True,True,2.923519,11.900902,21.920122,59.253407,Moderate,Humid,Moderate rain,Windy,Partly cloudy,Moderate low-cloud,True,False,False,False,False,False,False
2022-07-30,1.2860913,0.9968893,-0.3761078,0.9310539178726575,0.7911091,0.6333364,0.06644587,0.9692476196454662,0.79408276,0.6338858,-0.008010402,0.9683500871827115,26.847847,14.82427,-0.0029736757,False,True,True,4.484377,12.799933,24.29768,51.78077,Moderate,Moderate humidity,Moderate rain,Windy,Clear,Moderate low-cloud,True,False,False,False,False,False,False
2022-07-31,1.4346104,1.0701731,-0.20538709,0.8012394783188315,0.9026339,0.687938,0.26643643,0.9302723477729201,0.9059356,0.6804181,0.17985502,0.9270099435403735,27.049847,15.638211,-0.00330168,False,True,True,1.4528806,9.161762,7.4825807,37.702595,Moderate,Moderate humidity,Dry,Calm,Clear,Low low-cloud,True,False,False,False,False,False,False
2022-08-01,1.362086,0.9958523,-0.3325609,0.7547002661183542,1.0038031,0.7596315,0.059220288,0.8604629246102066,1.0215635,0.7887507,0.025589904,0.8574384232540986,27.876526,17.521027,-0.017760396,False,True,True,3.0017557,10.332924,17.645967,66.46468,Moderate,Moderate humidity,Moderate rain,Moderate wind,Cloudy,Low low-cloud,True,False,False,False,False,False,False
2022-08-02,1.4208913,1.0435722,-0.3792276,0.8852467077690239,0.95281786,0.75943446,-0.11172776,0.9357466598842048,0.9562865,0.771588,-0.21900897,0.9385526412880186,29.1012,18.46508,-0.0034686327,False,True,True,3.6289895,11.307056,33.785885,53.236027,Hot,Humid,Moderate rain,Windy,Partly cloudy,High low-cloud,True,False,False,False,False,False,True
2022-08-03,1.3833644,1.0203538,-0.1946634,0.8560930703464104,0.79918987,0.623233,-0.12094069,0.9423281598953149,0.7911276,0.61860144,-0.1509498,0.9422618388308266,29.83424,15.892686,0.008062243,True,True,True,1.2759566,9.300006,18.71531,38.618362,Hot,Moderate humidity,Dry,Calm,Clear,Low low-cloud,True,False,False,False,False,False,False
2022-08-04,1.7253335,1.2657248,-0.062023,0.8189892524365291,1.3435887,1.1016208,-0.26187795,0.8902163361573503,1.2660295,1.0333449,-0.24804696,0.9018787652964638,31.539204,19.29132,0.07755923,True,True,True,2.142074,10.196241,23.539553,53.29327,Hot,Humid,Dry,Moderate wind,Partly cloudy,Moderate low-cloud,True,False,False,False,False,False,True
2022-08-05,1.9112487,1.5040089,-0.7277864,0.7363771883030977,1.1659693,0.9544501,-0.53618455,0.880263019397436,1.2116654,0.9948032,-0.63656044,0.8832471900248539,30.153255,20.391119,-0.04569614,False,True,True,2.1093557,8.690777,29.308945,60.80962,Hot,Humid,Dry,Calm,Partly cloudy,Moderate low-cloud,True,False,False,False,False,False,True
2022-08-06,1.5390316,1.1439592,-0.14817996,0.6115969532952357,1.0254787,0.83667153,-0.26932916,0.806346049032636,0.9905361,0.8021084,-0.2308299,0.8158431278407842,30.680027,20.113964,0.034942627,True,True,True,0.83382654,9.157692,27.089878,47.89754,Hot,Humid,Dry,Calm,Clear,Moderate low-cloud,False,False,False,False,False,False,True
2022-08-07,1.5173459,1.1710206,-0.34475338,0.6681200209269078,1.0790241,0.8906723,-0.518875,0.8404709043602817,1.0858746,0.8864905,-0.4758452,0.8316525945180642,31.288198,21.173744,-0.006850481,False,True,True,2.3491907,11.6172695,18.190418,48.279053,Hot,Humid,Dry,Windy,Clear,Low low-cloud,True,False,False,False,False,False,True
2022-08-08,1.8706481,1.3259757,-0.018880399,0.9296859376854849,1.9619906,1.3961183,-0.014875984,0.9389901811798353,2.154564,1.52468,-0.054266706,0.9268342451638971,29.73359,20.46258,-0.19257331,False,False,False,5.4717307,11.916041,29.74452,56.160965,Hot,Humid,Wet,Windy,Partly cloudy,High low-cloud,True,False,False,False,True,False,True
