,Interpolation RMSE,Interpolation MAE,Interpolation Bias,Interpolation Spatial corr,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Bias,U-Net T+Elev Spatial corr,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Bias,Transformer T+Elev Spatial corr,Truth Tmax mean (deg C),Truth Tmax p95 (deg C),Dew point mean (deg C),Solar radiation mean (MJ m-2 day-1),U-Net minus Transformer RMSE,Transformer beats U-Net,U-Net beats interpolation,Transformer beats interpolation,Temperature regime,Humidity regime,Cloud regime,Hot and cloudy,Hot and humid,Cool and cloudy
2022-07-10,1.2777358,0.9495231,-0.17595676,0.7428549683696636,0.9416288,0.71133816,0.41891617,0.8681895423138272,0.9132505,0.6971341,0.25535497,0.8576879138052921,25.984766,28.649993896484375,10.635681,1.1443579,0.028378308,True,True,True,Moderate,Dry,Sunny,False,False,False
2022-07-11,1.4369986,1.1130393,0.16533749,0.7247412821744647,0.85594046,0.68374485,0.4116886,0.8862814606718253,0.82736397,0.6608469,0.3185553,0.8816945311741065,28.319164,30.850006103515625,13.025557,1.1150398,0.028576493,True,True,True,Hot,Dry,Sunny,False,False,False
2022-07-12,1.6145666,1.2934226,-0.1491425,0.8228389027445059,1.0372691,0.8316,0.052231006,0.9146043433224682,1.101593,0.88434505,-0.0005691262,0.9029587715483642,29.302942,32.95001220703125,17.143711,0.9139485,-0.0643239,False,True,True,Hot,Moderate humidity,Partly cloudy,False,False,False
2022-07-13,1.6237664,1.2167366,-0.6137725,0.8663267939094454,0.8923221,0.6841005,-0.20782992,0.9479213603635674,0.969953,0.7370171,-0.3625543,0.9429247456000939,28.480705,32.45001220703125,15.835227,0.9954544,-0.07763088,False,True,True,Hot,Moderate humidity,Sunny,False,False,False
2022-07-14,1.810975,1.3325276,-0.5451147,0.875824483706182,1.3676165,0.9876216,-0.055609614,0.9176392669330463,1.2037954,0.9074424,-0.17461678,0.9354298107872822,26.843649,32.050018310546875,15.283351,0.9338026,0.1638211,True,True,True,Moderate,Moderate humidity,Partly cloudy,False,False,False
2022-07-15,1.4542744,1.1186966,-0.37982306,0.806219533450677,0.776411,0.6152995,0.05197322,0.9323275920374211,0.749508,0.58780724,-0.069225095,0.933846791296097,27.787157,30.850006103515625,12.711587,1.0316632,0.026902974,True,True,True,Moderate,Dry,Sunny,False,False,False
2022-07-16,1.6024361,1.25264,-0.72230184,0.6504362252562194,1.0525591,0.8270633,-0.27296737,0.8152760767980469,1.0753398,0.8449559,-0.34929252,0.8088805316521924,28.075624,30.75,14.799602,0.82037145,-0.022780657,False,True,True,Moderate,Moderate humidity,Partly cloudy,False,False,False
2022-07-17,1.6348265,1.2077799,-0.15295736,0.6747780970821665,0.9702376,0.7599731,0.04748687,0.8521717898848872,0.98409516,0.76928884,0.013566857,0.843627042995709,29.146465,31.850006103515625,17.047743,0.9091017,-0.0138575435,False,True,True,Hot,Moderate humidity,Partly cloudy,False,False,False
2022-07-18,1.5850022,1.2371978,-0.42011735,0.8991153885205239,1.0151904,0.78263235,0.11277839,0.9521180052140492,1.0817364,0.8425614,0.081339225,0.9452153018186394,27.383678,33.149993896484375,19.961256,0.52040076,-0.06654608,False,True,True,Moderate,Humid,Cloudy,False,False,False
2022-07-19,1.4260348,1.0091271,-0.2544031,0.768038226286202,0.9021401,0.71865773,-0.25005004,0.9123943471353823,0.9097718,0.7223019,-0.22070521,0.908765639101062,30.233936,33.050018310546875,18.992752,1.0095681,-0.007631719,False,True,True,Hot,Humid,Sunny,False,True,False
2022-07-20,1.7603722,1.2948618,-0.6032482,0.7412125596635103,1.2954373,1.077732,-0.8623662,0.8934318694200388,1.2519726,1.0139055,-0.83804756,0.8955821254586338,32.079704,35.050018310546875,18.817318,1.0863676,0.04346478,True,True,True,Hot,Humid,Sunny,False,True,False
2022-07-21,1.5719697,1.1986922,-0.40489507,0.7876131428191042,1.1303463,0.9306008,-0.529061,0.8936152551593732,1.0548563,0.8526788,-0.48012316,0.9064694008533393,31.27241,34.649993896484375,19.834824,0.9322339,0.07549,True,True,True,Hot,Humid,Partly cloudy,False,True,False
2022-07-22,1.6265571,1.1830093,-0.7014663,0.8079858099982343,1.1229715,0.92390937,-0.79502565,0.9369720784707267,1.1716977,0.956048,-0.7913071,0.9244391202708123,31.490053,34.75,17.811066,1.0452646,-0.0487262,False,True,True,Hot,Humid,Sunny,False,True,False
2022-07-23,1.6345879,1.1690882,-0.49346805,0.7539038560886674,1.2176514,1.0134958,-0.8826651,0.9175017446820113,1.1851941,0.97407085,-0.8076626,0.9105773956474378,32.650215,35.75,17.375368,1.0859591,0.032457232,True,True,True,Hot,Moderate humidity,Sunny,False,False,False
2022-07-24,1.5456874,1.1555648,-0.14602794,0.8233249790817311,1.0695665,0.86355615,-0.50606877,0.9248193182524089,1.0348662,0.82522374,-0.43454474,0.9253787970883046,32.349377,36.149993896484375,18.49077,0.98777634,0.034700274,True,True,True,Hot,Humid,Sunny,False,True,False
